ORG_NCES_ID,ORG_CODE,ORG_NAME,DISTRICT_NAME
2500006,00840000,East Brookfield (non-op),
2500054,04520000,Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),
2504660,00900000,Egremont (non-op),
2504740,00920000,Essex (non-op),
2504750,09130000,Essex Agricultural Technical,
,08170000,Essex North Shore Agricultural and Technical School District,
2500075,04100000,Excel Academy Charter (District),
2500534,04590000,Excel Academy Charter School - Boston II (District),
2500529,04610000,Excel Academy Charter School - Chelsea (District),
2500076,04130000,Four Rivers Charter Public (District),
2500052,04460000,Foxborough Regional Charter (District),
2500038,04780000,Francis W. Parker Charter Essential (District),
2505020,08180000,Franklin County Regional Vocational Technical,
2505040,01020000,Freetown (non-op),
2505250,01060000,Gill (non-op),
2500519,04960000,Global Learning Charter Public  (District),
2505310,01080000,Goshen (non-op),
2505460,01130000,Great Barrington (non-op),
2505485,08210000,Greater Fall River Regional Vocational Technical,
2505470,08230000,Greater Lawrence Regional Vocational Technical,
2505480,08280000,Greater Lowell Regional Vocational Technical,
2508440,08250000,Greater New Bedford Regional Vocational Technical,
2505510,01150000,Groton (non-op),
2505550,01160000,Groveland (non-op),
2505640,01190000,Hamilton (non-op),
2505700,01200000,Hampden (non-op),
2500522,04990000,Hampden Charter School of Science (District),
2500016,01230000,Hanson (non-op),
2500007,01240000,Hardwick (non-op),
2506010,01290000,Hawley (non-op),
2506060,01300000,Heath (non-op),
2500083,04550000,Hill View Montessori Charter Public (District),
2500031,04500000,Hilltown Cooperative Charter  Public (District),
2506120,01320000,Hinsdale (non-op),
2506180,01340000,Holden (non-op),
2500087,04530000,Holyoke Community Charter (District),
2500008,01400000,Hubbardston (non-op),
2506450,01430000,Huntington (non-op),
2500025,04350000,Innovation Academy Charter (District),
2500537,04630000,KIPP Academy Boston Charter School (District),
2500082,04290000,KIPP Academy Lynn Charter (District),
2506570,01460000,Lakeville (non-op),
2506600,01470000,Lancaster (non-op),
2500032,04540000,Lawrence Family Development Charter (District),
2500017,01560000,Leyden (non-op),
,35030000,Lowell Collegiate Charter School (District),
2500065,04560000,Lowell Community Charter Public (District),
2500033,04580000,Lowell Middlesex Academy Charter (District),
2500066,04690000,MATCH Charter Public School (District),
2500531,04650000,MATCH Community Day Charter Public School (District),
2500036,04680000,Ma Academy for Math and Science,
2507200,01660000,Manchester (non-op),
2500034,04640000,Marblehead Community Charter Public (District),
2500035,04660000,Martha's Vineyard Charter (District),
2500089,04920000,Martin Luther King Jr. Charter School of Excellence (District),
,39010000,Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,
2507650,01790000,Mendon (non-op),
2507710,01800000,Merrimac (non-op),
2507800,01830000,Middlefield (non-op),
2507950,01880000,Millville (non-op),
2507985,08300000,Minuteman Regional Vocational Technical,
2500544,07120000,Monomoy Regional School District,
2508010,01900000,Monroe (non-op),
2508050,08320000,Montachusett Regional Vocational Technical,
2508070,01920000,Montague (non-op),
2508080,01930000,Monterey (non-op),
2508090,01940000,Montgomery (non-op),
2508190,01950000,Mount Washington (non-op),
2500055,04700000,Mystic Valley Regional Charter (District),
2508320,08520000,Nashoba Valley Regional Vocational Technical,
2500029,04440000,Neighborhood House Charter (District),
2508400,02000000,New Ashford (non-op),
2500009,02020000,New Braintree (non-op),
2508490,02050000,New Marlborough (non-op),
2508520,02060000,New Salem (non-op),
2508550,02030000,Newbury (non-op),
2508650,09150000,Norfolk County Agricultural,
2500073,04740000,North Central Charter Essential (District),
2508830,08540000,North Shore Regional Vocational Technical,
2508860,04060000,Northampton-Smith Vocational Agricultural,
2508960,08530000,Northeast Metropolitan Regional Vocational Technical,
2508950,08510000,Northern Berkshire Regional Vocational Technical,
2500018,02160000,Northfield (non-op),
2500010,02220000,Oakham (non-op),
2509140,08550000,Old Colony Regional Vocational Technical,
2509240,02250000,Otis (non-op),
2509310,08600000,Pathfinder Regional Vocational Technical,
,35010000,Paulo Freire Social Justice Charter School (District),
2509330,02280000,Paxton (non-op),
2509480,02320000,Pepperell (non-op),
2509510,02330000,Peru (non-op),
2509570,02350000,Phillipston (non-op),
,35080000,Phoenix Academy Public Charter High School Springfield (District),
2500090,04930000,Phoenix Charter Academy (District),
2500518,04940000,Pioneer Charter School of Science (District),
,35060000,Pioneer Charter School of Science II (PCSS-II) (District),
2500517,04970000,Pioneer Valley Chinese Immersion Charter(District),
2500044,04790000,Pioneer Valley Performing Arts Charter Public (District),
2500011,02370000,Plainfield (non-op),
2509810,02410000,Princeton (non-op),
2500046,04870000,Prospect Hill Academy Charter (District),
2509960,02450000,Raynham (non-op),
2510020,02470000,Rehoboth (non-op),
2500057,04830000,Rising Tide Charter Public (District),
2500062,04820000,River Valley Charter (District),
2510260,02540000,Rowley (non-op),
2500063,04840000,Roxbury Preparatory Charter (District),
2510290,02550000,Royalston (non-op),
2510320,02560000,Russell (non-op),
2510350,02570000,Rutland (non-op),
2500028,04410000,Sabis International Charter (District),
2500084,04850000,Salem Academy Charter (District),
2500532,04670000,Salem Community Charter School (District),
2510410,02590000,Salisbury (non-op),
2510440,02600000,Sandisfield (non-op),
2500045,04860000,Seven Hills Charter Public (District),
